Record_ID,Date,State,City,Waste_Type,Waste_Generated_Tons,Waste_Collected_Tons,Segregated_Tons,Recycled_Tons,Composted_Tons,Landfilled_Tons,Collection_Efficiency_Pct,Recycling_Rate_Pct,Disposal_Method,Facility_Type,Year,Month,Month_Name,Quarter,Waste_Per_Capita_Kg
3205,2024-05-19,West Bengal,Kolkata,Glass,254.82,247.84,198.68,143.55,8.5,95.22,97.26,72.25,Waste-to-Energy,Landfill,2024,5,May,Q2,0.36
3206,2025-05-14,Uttar Pradesh,Lucknow,Dry Waste,422.59,332.12,265.46,111.89,10.38,204.77,78.59,42.15,Material Recovery,Landfill,2025,5,May,Q2,0.74
3207,2024-09-04,Delhi,New Delhi,Wet Waste,452.97,448.44,309.63,46.99,140.17,230.21,99.0,15.17,Material Recovery,Recycling Facility,2024,9,Sep,Q3,0.36
3208,2023-04-06,Gujarat,Rajkot,Plastic,581.66,491.65,355.06,190.04,12.41,274.18,84.53,53.52,Material Recovery,Recycling Facility,2023,4,Apr,Q2,0.4
3209,2025-10-03,Kerala,Kozhikode,Dry Waste,165.47,144.84,95.28,51.28,3.32,80.08,87.53,53.82,Material Recovery,Waste-to-Energy Plant,2025,10,Oct,Q4,0.5
3210,2025-04-03,Gujarat,Ahmedabad,Dry Waste,968.99,959.3,751.01,356.97,24.12,515.17,99.0,47.53,Recycling,MRF,2025,4,Apr,Q2,0.8
3211,2024-10-19,Odisha,Rourkela,Dry Waste,396.21,360.64,240.84,156.01,8.4,169.32,91.02,64.78,Recycling,Landfill,2024,10,Oct,Q4,0.35
3212,2024-03-18,Odisha,Cuttack,E-Waste,597.72,550.14,493.01,273.13,19.42,238.27,92.04,55.4,Recycling,Recycling Facility,2024,3,Mar,Q1,0.4
3213,2025-01-27,Karnataka,Bengaluru,E-Waste,342.05,298.15,249.03,122.09,8.63,160.65,87.17,49.03,Composting,Waste-to-Energy Plant,2025,1,Jan,Q1,0.65
3214,2024-06-11,Uttar Pradesh,Kanpur,Wet Waste,345.01,307.81,218.73,50.79,89.51,144.96,89.22,23.22,Composting,MRF,2024,6,Jun,Q2,0.46
3215,2025-02-01,Delhi,New Delhi,Dry Waste,472.64,444.86,217.13,119.12,6.79,308.11,94.12,54.86,Landfill,Waste-to-Energy Plant,2025,2,Feb,Q1,0.49
3216,2023-07-11,Gujarat,Vadodara,Dry Waste,282.11,261.2,226.12,122.3,7.42,121.57,92.59,54.09,Landfill,Waste-to-Energy Plant,2023,7,Jul,Q3,0.65
3217,2025-07-18,Gujarat,Surat,Wet Waste,205.86,195.18,170.76,20.82,63.64,106.92,94.81,12.2,Recycling,MRF,2025,7,Jul,Q3,0.44
3218,2023-02-05,Karnataka,Mysuru,Plastic,242.85,207.57,131.71,55.25,4.31,130.48,85.47,41.95,Material Recovery,Composting Plant,2023,2,Feb,Q1,0.69
3219,2024-03-03,Maharashtra,Mumbai,Wet Waste,883.86,760.71,570.97,40.87,194.6,465.13,86.07,7.16,Recycling,Waste-to-Energy Plant,2024,3,Mar,Q1,0.64
3220,2024-08-05,Delhi,Delhi,Paper,658.9,602.33,353.45,218.84,15.08,347.78,91.41,61.92,Material Recovery,Waste-to-Energy Plant,2024,8,Aug,Q3,0.59
3221,2024-10-08,West Bengal,Howrah,Wet Waste,273.03,237.25,165.71,30.01,71.05,133.24,86.89,18.11,Material Recovery,Waste-to-Energy Plant,2024,10,Oct,Q4,0.59
3222,2025-04-27,Kerala,Kozhikode,Wet Waste,375.52,303.56,221.24,17.56,103.24,181.57,80.84,7.94,Landfill,MRF,2025,4,Apr,Q2,0.76
3223,2023-05-20,Maharashtra,Nashik,Plastic,374.19,294.3,239.48,124.18,8.29,149.34,78.65,51.85,Material Recovery,Recycling Facility,2023,5,May,Q2,0.53
3224,2025-10-23,Madhya Pradesh,Gwalior,Metal,504.05,409.81,334.75,261.78,11.67,133.59,81.3,78.2,Recycling,Composting Plant,2025,10,Oct,Q4,0.58
3225,2025-07-25,Madhya Pradesh,Gwalior,Wet Waste,437.0,415.11,273.44,42.4,116.12,221.26,94.99,15.51,Composting,Recycling Facility,2025,7,Jul,Q3,0.48
3226,2025-12-13,Madhya Pradesh,Bhopal,E-Waste,152.46,134.82,98.04,36.17,3.03,82.61,88.43,36.89,Recycling,Recycling Facility,2025,12,Dec,Q4,0.5
3227,2023-05-30,Tamil Nadu,Salem,E-Waste,312.83,279.88,175.82,73.56,7.16,185.1,89.47,41.84,Recycling,Waste-to-Energy Plant,2023,5,May,Q2,0.76
3228,2024-02-27,Uttar Pradesh,Agra,E-Waste,152.87,126.4,84.18,21.16,2.84,90.63,82.68,25.14,Composting,Composting Plant,2024,2,Feb,Q1,0.68
3229,2024-11-24,Odisha,Cuttack,E-Waste,301.63,276.57,158.03,67.67,6.29,192.15,91.69,42.82,Waste-to-Energy,Composting Plant,2024,11,Nov,Q4,0.82
3230,2024-07-27,Kerala,Kochi,Dry Waste,236.07,222.19,111.24,41.55,3.67,168.08,94.12,37.35,Landfill,Composting Plant,2024,7,Jul,Q3,0.36
3231,2024-03-10,Odisha,Rourkela,Paper,499.56,452.77,316.08,223.21,9.55,213.0,90.63,70.62,Waste-to-Energy,MRF,2024,3,Mar,Q1,0.72
3232,2023-09-05,Gujarat,Ahmedabad,Wet Waste,915.22,776.92,606.79,159.4,290.07,317.2,84.89,26.27,Landfill,Landfill,2023,9,Sep,Q3,0.81
3233,2023-07-04,Rajasthan,Jaipur,Wet Waste,342.92,339.49,230.84,16.25,104.3,187.81,99.0,7.04,Waste-to-Energy,MRF,2023,7,Jul,Q3,0.63
3234,2025-07-12,Odisha,Bhubaneswar,Dry Waste,334.39,259.44,157.28,78.12,4.85,176.16,77.59,49.67,Waste-to-Energy,MRF,2025,7,Jul,Q3,0.51
3235,2025-12-05,Madhya Pradesh,Jabalpur,Paper,415.13,398.1,365.19,324.7,13.15,57.1,95.9,88.91,Landfill,Composting Plant,2025,12,Dec,Q4,0.67
3236,2025-11-30,Uttar Pradesh,Agra,Plastic,296.3,260.68,188.4,85.79,7.2,152.35,87.98,45.54,Composting,Recycling Facility,2025,11,Nov,Q4,0.4
3237,2024-12-24,West Bengal,Kolkata,Wet Waste,704.18,637.43,489.49,66.1,225.38,338.22,90.52,13.5,Waste-to-Energy,Recycling Facility,2024,12,Dec,Q4,0.4
3238,2025-08-12,Madhya Pradesh,Jabalpur,Wet Waste,287.42,277.76,182.61,17.12,81.12,155.67,96.64,9.38,Recycling,Composting Plant,2025,8,Aug,Q3,0.84
3239,2025-01-06,Kerala,Thiruvananthapuram,Paper,483.63,420.26,332.45,223.72,11.7,178.38,86.9,67.29,Waste-to-Energy,Waste-to-Energy Plant,2025,1,Jan,Q1,0.75
3240,2025-08-13,West Bengal,Kolkata,Dry Waste,448.11,399.72,338.43,170.73,12.52,197.43,89.2,50.45,Recycling,Landfill,2025,8,Aug,Q3,0.6
3241,2025-10-02,Odisha,Rourkela,Wet Waste,491.79,409.91,289.88,56.98,120.62,223.5,83.35,19.66,Waste-to-Energy,Waste-to-Energy Plant,2025,10,Oct,Q4,0.8
3242,2023-08-22,Telangana,Nizamabad,Dry Waste,306.97,268.09,219.73,86.37,8.04,163.06,87.33,39.31,Waste-to-Energy,Composting Plant,2023,8,Aug,Q3,0.51
3243,2025-12-31,Telangana,Nizamabad,Glass,415.29,344.72,248.42,163.87,10.07,168.28,83.01,65.97,Material Recovery,Waste-to-Energy Plant,2025,12,Dec,Q4,0.84
3244,2025-11-11,Delhi,New Delhi,Dry Waste,170.27,156.3,119.67,55.7,3.85,87.66,91.79,46.55,Waste-to-Energy,Recycling Facility,2025,11,Nov,Q4,0.39
3245,2025-11-17,Gujarat,Ahmedabad,Plastic,829.98,718.69,503.1,297.81,21.35,361.98,86.59,59.2,Composting,Recycling Facility,2025,11,Nov,Q4,0.67
3246,2024-08-02,Maharashtra,Nashik,Paper,548.03,491.31,416.18,229.73,13.43,212.28,89.65,55.2,Recycling,MRF,2024,8,Aug,Q3,0.36
3247,2025-06-01,Odisha,Bhubaneswar,Dry Waste,528.9,468.63,313.95,169.77,10.09,246.39,88.6,54.07,Recycling,MRF,2025,6,Jun,Q2,0.67
3248,2025-08-09,Delhi,New Delhi,E-Waste,152.44,137.95,79.48,32.08,3.11,94.96,90.5,40.36,Composting,Landfill,2025,8,Aug,Q3,0.77
3249,2025-01-07,Tamil Nadu,Salem,Paper,487.58,460.82,240.16,160.97,8.0,260.56,94.51,67.03,Composting,Composting Plant,2025,1,Jan,Q1,0.81
3250,2025-09-30,Madhya Pradesh,Jabalpur,Wet Waste,373.52,369.78,271.39,13.89,108.33,226.08,99.0,5.12,Composting,Composting Plant,2025,9,Sep,Q3,0.78
3251,2024-03-12,Karnataka,Hubballi,E-Waste,311.65,305.33,197.96,89.89,6.25,190.51,97.97,45.41,Landfill,Waste-to-Energy Plant,2024,3,Mar,Q1,0.78
3252,2024-01-21,Telangana,Nizamabad,E-Waste,414.96,373.49,244.65,132.55,9.65,222.99,90.01,54.18,Material Recovery,Recycling Facility,2024,1,Jan,Q1,0.75
3253,2023-08-15,Rajasthan,Udaipur,Paper,301.84,276.44,133.19,97.13,4.5,153.37,91.58,72.93,Landfill,MRF,2023,8,Aug,Q3,0.49
3254,2024-04-12,Odisha,Cuttack,Paper,159.74,147.7,107.88,65.27,3.4,78.12,92.46,60.51,Waste-to-Energy,Landfill,2024,4,Apr,Q2,0.66
3255,2023-11-21,Kerala,Kozhikode,Plastic,148.86,141.28,123.3,44.03,5.39,78.13,94.91,35.71,Material Recovery,Recycling Facility,2023,11,Nov,Q4,0.82
3256,2024-11-05,Tamil Nadu,Madurai,Dry Waste,255.2,246.76,155.74,57.39,4.92,158.34,96.69,36.85,Landfill,Recycling Facility,2024,11,Nov,Q4,0.53
3257,2024-05-29,Odisha,Rourkela,Wet Waste,143.41,131.61,82.8,6.1,28.15,84.18,91.78,7.37,Material Recovery,Recycling Facility,2024,5,May,Q2,0.42
3258,2023-05-04,Karnataka,Bengaluru,Plastic,602.13,507.2,292.45,142.52,10.53,313.28,84.23,48.73,Recycling,Composting Plant,2023,5,May,Q2,0.73
3259,2024-07-10,Madhya Pradesh,Bhopal,Dry Waste,162.27,145.94,115.55,60.43,3.78,75.59,89.93,52.3,Waste-to-Energy,MRF,2024,7,Jul,Q3,0.85
3260,2025-12-20,Telangana,Warangal,Wet Waste,162.07,130.27,87.14,13.69,41.41,69.9,80.37,15.71,Waste-to-Energy,MRF,2025,12,Dec,Q4,0.36
3261,2025-11-01,West Bengal,Kolkata,Wet Waste,827.76,735.13,616.94,135.43,303.9,257.08,88.81,21.95,Recycling,Composting Plant,2025,11,Nov,Q4,0.6
3262,2025-02-05,Rajasthan,Kota,Paper,597.35,562.77,431.96,270.77,16.25,259.15,94.21,62.68,Waste-to-Energy,Recycling Facility,2025,2,Feb,Q1,0.35
3263,2025-03-19,Madhya Pradesh,Jabalpur,Dry Waste,621.08,527.09,390.97,159.22,14.16,322.64,84.87,40.72,Waste-to-Energy,Recycling Facility,2025,3,Mar,Q1,0.64
3264,2025-05-26,Rajasthan,Kota,Wet Waste,592.61,531.19,297.39,38.14,105.3,337.99,89.64,12.83,Recycling,Composting Plant,2025,5,May,Q2,0.38
3265,2024-11-17,Uttar Pradesh,Lucknow,Plastic,547.37,460.92,266.55,138.95,8.97,298.65,84.21,52.13,Material Recovery,Landfill,2024,11,Nov,Q4,0.7
3266,2025-10-23,Madhya Pradesh,Jabalpur,Dry Waste,565.5,504.6,364.2,174.52,13.23,281.58,89.23,47.92,Recycling,Recycling Facility,2025,10,Oct,Q4,0.46
3267,2025-03-09,Rajasthan,Jaipur,Glass,573.7,485.52,396.26,334.69,14.45,125.62,84.63,84.46,Material Recovery,Landfill,2025,3,Mar,Q1,0.74
3268,2024-11-03,Tamil Nadu,Madurai,Dry Waste,624.77,521.63,400.22,151.63,13.21,356.35,83.49,37.89,Landfill,Recycling Facility,2024,11,Nov,Q4,0.75
3269,2024-08-26,Uttar Pradesh,Kanpur,Dry Waste,239.93,212.23,164.95,81.3,6.83,110.37,88.45,49.29,Recycling,Waste-to-Energy Plant,2024,8,Aug,Q3,0.82
3270,2025-02-15,Uttar Pradesh,Kanpur,Dry Waste,379.99,297.03,246.89,107.68,8.43,167.04,78.17,43.62,Waste-to-Energy,Composting Plant,2025,2,Feb,Q1,0.71
3271,2024-07-26,Madhya Pradesh,Indore,Wet Waste,360.88,292.32,220.29,21.27,85.6,168.13,81.0,9.65,Material Recovery,Landfill,2024,7,Jul,Q3,0.47
3272,2024-10-15,Uttar Pradesh,Agra,Paper,534.24,471.06,321.85,248.23,12.3,188.97,88.17,77.13,Material Recovery,Landfill,2024,10,Oct,Q4,0.52
3273,2025-01-07,Karnataka,Hubballi,Dry Waste,492.0,453.42,387.55,187.52,13.7,229.31,92.16,48.39,Landfill,Composting Plant,2025,1,Jan,Q1,0.74
3274,2023-02-25,West Bengal,Howrah,Wet Waste,501.03,481.96,383.35,64.45,142.96,243.69,96.19,16.81,Composting,MRF,2023,2,Feb,Q1,0.6
3275,2025-05-11,Gujarat,Rajkot,E-Waste,201.71,194.09,139.0,60.68,5.75,115.35,96.22,43.66,Composting,Waste-to-Energy Plant,2025,5,May,Q2,0.73
3276,2024-07-04,Rajasthan,Kota,Wet Waste,549.45,519.51,412.02,47.18,180.48,282.71,94.55,11.45,Landfill,Waste-to-Energy Plant,2024,7,Jul,Q3,0.8
3277,2023-01-14,Telangana,Nizamabad,Paper,497.41,447.38,330.07,237.82,13.73,191.13,89.94,72.05,Composting,Composting Plant,2023,1,Jan,Q1,0.69
3278,2025-02-08,Uttar Pradesh,Kanpur,Dry Waste,244.73,231.79,177.66,71.54,6.98,143.21,94.71,40.27,Composting,Waste-to-Energy Plant,2025,2,Feb,Q1,0.39
3279,2023-08-09,Delhi,New Delhi,Wet Waste,450.72,404.24,292.85,8.79,136.38,243.43,89.69,3.0,Recycling,MRF,2023,8,Aug,Q3,0.67
3280,2025-03-06,Tamil Nadu,Salem,Metal,325.66,288.85,205.19,145.39,6.58,117.0,88.7,70.86,Waste-to-Energy,MRF,2025,3,Mar,Q1,0.65
3281,2023-10-07,Rajasthan,Jaipur,Paper,560.42,509.63,397.17,241.79,15.08,239.28,90.94,60.88,Landfill,Waste-to-Energy Plant,2023,10,Oct,Q4,0.42
3282,2023-09-07,Karnataka,Mangaluru,Paper,609.81,551.95,357.04,228.41,11.35,307.37,90.51,63.97,Composting,MRF,2023,9,Sep,Q3,0.58
3283,2025-09-06,Maharashtra,Nashik,E-Waste,513.6,508.46,374.79,178.82,14.38,302.04,99.0,47.71,Waste-to-Energy,Composting Plant,2025,9,Sep,Q3,0.5
3284,2024-07-09,Delhi,New Delhi,E-Waste,220.5,201.8,150.14,48.5,5.32,144.42,91.52,32.3,Recycling,Waste-to-Energy Plant,2024,7,Jul,Q3,0.72
3285,2024-05-15,Tamil Nadu,Coimbatore,Paper,197.94,195.57,86.12,64.23,2.92,120.6,98.81,74.58,Recycling,MRF,2024,5,May,Q2,0.39
3286,2024-01-21,Karnataka,Mysuru,Wet Waste,411.79,367.14,292.89,22.47,127.89,193.59,89.16,7.67,Composting,Landfill,2024,1,Jan,Q1,0.4
3287,2024-07-13,Telangana,Nizamabad,Plastic,513.03,431.95,259.42,159.87,10.94,250.81,84.2,61.63,Landfill,Waste-to-Energy Plant,2024,7,Jul,Q3,0.63
3288,2024-09-15,Tamil Nadu,Salem,Metal,153.64,131.42,116.97,106.7,4.03,19.9,85.54,91.22,Material Recovery,Composting Plant,2024,9,Sep,Q3,0.73
3289,2025-05-26,Kerala,Thiruvananthapuram,Wet Waste,249.3,210.93,160.8,18.82,59.35,121.79,84.61,11.7,Recycling,Landfill,2025,5,May,Q2,0.69
3290,2024-12-01,West Bengal,Howrah,Plastic,439.53,435.14,374.16,189.29,16.21,224.81,99.0,50.59,Recycling,Waste-to-Energy Plant,2024,12,Dec,Q4,0.75
3291,2024-08-06,Odisha,Cuttack,Wet Waste,418.52,403.69,333.03,58.64,133.06,210.4,96.46,17.61,Recycling,Composting Plant,2024,8,Aug,Q3,0.48
3292,2025-05-31,Kerala,Kochi,Wet Waste,608.29,560.31,466.36,70.03,169.33,287.99,92.11,15.02,Waste-to-Energy,Waste-to-Energy Plant,2025,5,May,Q2,0.62
3293,2025-01-04,Karnataka,Mangaluru,E-Waste,280.61,216.03,135.76,66.53,5.55,130.28,76.99,49.01,Composting,Waste-to-Energy Plant,2025,1,Jan,Q1,0.72
3294,2025-01-14,Telangana,Warangal,Metal,472.85,408.95,349.09,243.37,13.1,143.54,86.49,69.72,Composting,Recycling Facility,2025,1,Jan,Q1,0.44
3295,2023-03-04,Madhya Pradesh,Gwalior,E-Waste,398.22,377.07,257.97,72.92,8.39,287.25,94.69,28.27,Recycling,Composting Plant,2023,3,Mar,Q1,0.55
3296,2024-09-27,Telangana,Nizamabad,Paper,375.89,327.65,219.06,130.55,7.46,170.82,87.17,59.59,Composting,Landfill,2024,9,Sep,Q3,0.62
3297,2023-10-17,West Bengal,Howrah,Plastic,432.91,349.92,207.28,113.32,7.7,223.13,80.83,54.67,Composting,Recycling Facility,2023,10,Oct,Q4,0.83
3298,2024-02-11,Rajasthan,Jaipur,E-Waste,223.92,221.68,196.53,95.31,7.06,114.17,99.0,48.5,Recycling,MRF,2024,2,Feb,Q1,0.81
3299,2023-11-13,Tamil Nadu,Coimbatore,Dry Waste,214.98,212.83,125.0,64.47,4.88,142.57,99.0,51.58,Composting,Landfill,2023,11,Nov,Q4,0.36
3300,2023-08-05,Maharashtra,Nagpur,Wet Waste,349.61,271.3,202.85,36.38,73.69,159.21,77.6,17.94,Material Recovery,MRF,2023,8,Aug,Q3,0.53
3301,2023-12-13,West Bengal,Howrah,E-Waste,314.26,270.05,146.14,84.33,6.08,168.46,85.93,57.71,Waste-to-Energy,Landfill,2023,12,Dec,Q4,0.66
3302,2024-12-28,Telangana,Nizamabad,Metal,168.91,160.6,116.75,85.07,4.39,61.85,95.08,72.87,Waste-to-Energy,Waste-to-Energy Plant,2024,12,Dec,Q4,0.76
3303,2024-09-27,Karnataka,Hubballi,Paper,491.37,436.33,373.73,279.41,11.21,133.19,88.8,74.76,Waste-to-Energy,MRF,2024,9,Sep,Q3,0.81
3304,2024-09-16,Gujarat,Rajkot,Dry Waste,228.05,184.42,114.23,57.34,3.9,120.17,80.87,50.2,Recycling,Composting Plant,2024,9,Sep,Q3,0.37
3305,2025-11-14,Uttar Pradesh,Lucknow,Wet Waste,566.11,533.61,287.93,69.88,140.88,288.94,94.26,24.27,Recycling,Landfill,2025,11,Nov,Q4,0.84
3306,2025-04-18,Maharashtra,Dhule,Wet Waste,311.43,244.09,152.09,31.61,63.05,136.48,78.38,20.78,Landfill,Composting Plant,2025,4,Apr,Q2,0.64
3307,2023-03-02,Maharashtra,Nashik,Dry Waste,271.87,222.04,171.46,65.12,5.56,144.91,81.67,37.98,Landfill,Composting Plant,2023,3,Mar,Q1,0.47
3308,2023-03-07,Maharashtra,Mumbai,Wet Waste,734.28,686.75,555.84,16.68,218.38,387.96,93.53,3.0,Material Recovery,Landfill,2023,3,Mar,Q1,0.75
3309,2024-05-13,Tamil Nadu,Madurai,Wet Waste,374.51,362.09,194.46,7.31,95.01,240.76,96.68,3.76,Landfill,MRF,2024,5,May,Q2,0.39
3310,2023-05-18,Kerala,Kozhikode,Plastic,569.75,515.97,393.29,140.96,14.43,350.63,90.56,35.84,Waste-to-Energy,Composting Plant,2023,5,May,Q2,0.71
3311,2023-11-06,Telangana,Nizamabad,Paper,443.53,386.64,307.0,223.75,9.33,149.73,87.17,72.88,Waste-to-Energy,Composting Plant,2023,11,Nov,Q4,0.84
3312,2023-04-07,Maharashtra,Dhule,Wet Waste,577.34,499.35,399.5,13.73,156.33,294.26,86.49,3.44,Material Recovery,Composting Plant,2023,4,Apr,Q2,0.83
3313,2024-02-21,Kerala,Kozhikode,E-Waste,301.0,259.07,166.65,86.3,6.5,142.3,86.07,51.78,Landfill,Landfill,2024,2,Feb,Q1,0.36
3314,2023-11-25,West Bengal,Howrah,Dry Waste,626.75,507.94,385.78,212.69,13.47,262.18,81.04,55.13,Material Recovery,MRF,2023,11,Nov,Q4,0.57
3315,2023-07-07,Madhya Pradesh,Gwalior,E-Waste,277.6,254.64,169.66,84.09,7.35,151.13,91.73,49.56,Landfill,Waste-to-Energy Plant,2023,7,Jul,Q3,0.48
3316,2025-03-16,Gujarat,Ahmedabad,Wet Waste,366.88,322.19,257.33,14.38,88.5,199.15,87.82,5.59,Composting,Landfill,2025,3,Mar,Q1,0.76
3317,2023-11-04,Tamil Nadu,Madurai,Wet Waste,258.27,236.04,125.63,30.79,46.72,138.51,91.39,24.51,Recycling,Recycling Facility,2023,11,Nov,Q4,0.81
3318,2024-10-26,Maharashtra,Nagpur,Dry Waste,471.75,460.59,280.42,130.18,12.21,283.6,97.63,46.42,Landfill,Waste-to-Energy Plant,2024,10,Oct,Q4,0.63
3319,2024-04-04,Karnataka,Hubballi,E-Waste,136.85,132.34,78.58,39.21,2.37,85.32,96.7,49.9,Composting,Composting Plant,2024,4,Apr,Q2,0.39
3320,2024-11-13,Maharashtra,Nagpur,Dry Waste,353.31,323.88,243.52,101.3,10.71,188.25,91.67,41.6,Waste-to-Energy,Recycling Facility,2024,11,Nov,Q4,0.75
3321,2023-10-30,Maharashtra,Nashik,Dry Waste,484.72,431.34,248.31,105.63,8.33,280.45,88.99,42.54,Material Recovery,Landfill,2023,10,Oct,Q4,0.51
3322,2023-07-28,Uttar Pradesh,Varanasi,Paper,305.69,256.78,162.38,111.65,6.44,119.84,84.0,68.76,Composting,Recycling Facility,2023,7,Jul,Q3,0.74
3323,2025-08-02,Maharashtra,Nashik,Plastic,434.57,386.15,317.46,147.62,9.77,195.19,88.86,46.5,Landfill,Landfill,2025,8,Aug,Q3,0.38
3324,2024-07-12,Uttar Pradesh,Kanpur,Wet Waste,583.61,561.07,415.6,68.31,195.27,290.33,96.14,16.44,Waste-to-Energy,Landfill,2024,7,Jul,Q3,0.52
3325,2024-12-04,Odisha,Cuttack,Paper,346.2,286.85,179.55,114.88,5.74,157.76,82.86,63.98,Composting,Waste-to-Energy Plant,2024,12,Dec,Q4,0.8
3326,2023-09-07,Telangana,Warangal,Dry Waste,487.46,447.06,306.61,133.22,12.23,282.1,91.71,43.45,Composting,Composting Plant,2023,9,Sep,Q3,0.42
3327,2023-01-24,West Bengal,Howrah,Wet Waste,379.05,328.24,207.58,11.68,86.57,229.71,86.6,5.63,Waste-to-Energy,Landfill,2023,1,Jan,Q1,0.8
3328,2025-03-26,Karnataka,Bengaluru,E-Waste,994.51,943.23,599.97,230.16,19.51,678.81,94.84,38.36,Landfill,Waste-to-Energy Plant,2025,3,Mar,Q1,0.79
3329,2023-01-28,Maharashtra,Nagpur,Dry Waste,340.66,312.49,218.61,143.5,6.69,161.07,91.73,65.64,Landfill,MRF,2023,1,Jan,Q1,0.46
3330,2024-12-06,Uttar Pradesh,Kanpur,Glass,411.81,317.76,233.52,176.14,8.02,131.27,77.16,75.43,Landfill,Recycling Facility,2024,12,Dec,Q4,0.53
3331,2024-08-11,Delhi,New Delhi,Wet Waste,456.36,424.81,275.49,49.57,112.43,253.16,93.09,17.99,Material Recovery,Landfill,2024,8,Aug,Q3,0.47
3332,2025-06-12,Madhya Pradesh,Bhopal,Wet Waste,246.95,185.91,115.2,15.03,41.47,111.82,75.28,13.05,Composting,MRF,2025,6,Jun,Q2,0.8
3333,2024-04-29,Madhya Pradesh,Jabalpur,Wet Waste,389.31,309.94,205.56,48.04,78.71,162.65,79.61,23.37,Composting,Landfill,2024,4,Apr,Q2,0.82
3334,2024-12-04,West Bengal,Howrah,Plastic,395.93,369.65,291.95,154.83,9.36,181.42,93.36,53.03,Material Recovery,Recycling Facility,2024,12,Dec,Q4,0.36
3335,2023-12-05,Delhi,Delhi,Plastic,942.15,762.72,502.58,317.3,21.95,408.02,80.96,63.13,Composting,Waste-to-Energy Plant,2023,12,Dec,Q4,0.76
3336,2024-07-16,Karnataka,Mysuru,Paper,592.86,529.56,424.2,332.04,14.96,161.41,89.32,78.27,Recycling,Recycling Facility,2024,7,Jul,Q3,0.76
3337,2023-01-03,Delhi,New Delhi,E-Waste,397.62,343.85,216.94,82.42,7.97,236.55,86.48,37.99,Material Recovery,Recycling Facility,2023,1,Jan,Q1,0.52
3338,2023-01-09,Karnataka,Mangaluru,Glass,269.65,220.77,167.94,118.13,6.77,91.36,81.87,70.34,Material Recovery,Recycling Facility,2023,1,Jan,Q1,0.81
3339,2025-08-21,Rajasthan,Jodhpur,Metal,364.44,295.6,273.14,197.18,11.86,77.79,81.11,72.19,Composting,Composting Plant,2025,8,Aug,Q3,0.63
3340,2023-10-06,Uttar Pradesh,Agra,Plastic,406.91,363.45,302.53,165.38,10.95,159.93,89.32,54.67,Waste-to-Energy,Waste-to-Energy Plant,2023,10,Oct,Q4,0.57
3341,2024-05-30,Maharashtra,Nagpur,E-Waste,518.91,411.26,212.94,114.29,8.56,248.44,79.25,53.67,Waste-to-Energy,Recycling Facility,2024,5,May,Q2,0.43
3342,2024-05-18,Gujarat,Surat,Dry Waste,389.14,310.09,223.41,82.4,7.24,199.2,79.69,36.88,Recycling,MRF,2024,5,May,Q2,0.4
3343,2024-02-08,Kerala,Kochi,Wet Waste,242.37,208.12,151.4,23.47,74.71,105.05,85.87,15.51,Landfill,Landfill,2024,2,Feb,Q1,0.85
3344,2025-01-18,Telangana,Hyderabad,Paper,416.79,360.19,213.75,166.21,6.66,179.81,86.42,77.76,Waste-to-Energy,Landfill,2025,1,Jan,Q1,0.5
3345,2025-01-09,Tamil Nadu,Madurai,Wet Waste,506.03,440.32,355.9,85.43,132.97,214.26,87.01,24.0,Landfill,MRF,2025,1,Jan,Q1,0.63
3346,2024-07-26,West Bengal,Durgapur,E-Waste,291.07,288.16,202.19,81.65,7.92,176.51,99.0,40.38,Material Recovery,Landfill,2024,7,Jul,Q3,0.46
3347,2025-05-31,Telangana,Hyderabad,Plastic,402.17,338.66,261.54,156.74,8.91,160.97,84.21,59.93,Landfill,Waste-to-Energy Plant,2025,5,May,Q2,0.36
3348,2024-05-29,Gujarat,Surat,Dry Waste,602.07,533.15,383.64,119.4,15.24,346.78,88.55,31.12,Waste-to-Energy,MRF,2024,5,May,Q2,0.47
3349,2024-01-13,Kerala,Thiruvananthapuram,Wet Waste,274.66,239.04,188.38,19.27,77.52,141.56,87.03,10.23,Material Recovery,Recycling Facility,2024,1,Jan,Q1,0.74
3350,2025-05-17,Odisha,Cuttack,Paper,609.79,565.36,346.24,259.6,11.4,269.84,92.71,74.97,Composting,Waste-to-Energy Plant,2025,5,May,Q2,0.62
3351,2023-12-28,Karnataka,Mysuru,Plastic,311.67,274.38,148.84,73.59,5.46,173.26,88.04,49.44,Landfill,MRF,2023,12,Dec,Q4,0.8
3352,2025-07-25,West Bengal,Durgapur,Wet Waste,546.97,514.44,435.43,87.04,184.84,208.73,94.05,19.99,Recycling,Waste-to-Energy Plant,2025,7,Jul,Q3,0.65
3353,2025-10-04,Delhi,New Delhi,Metal,223.12,200.39,164.72,131.8,5.05,56.58,89.81,80.01,Composting,Recycling Facility,2025,10,Oct,Q4,0.76
3354,2024-06-30,Karnataka,Mysuru,Dry Waste,428.28,383.02,253.13,94.33,9.2,238.97,89.43,37.27,Waste-to-Energy,MRF,2024,6,Jun,Q2,0.72
3355,2023-12-13,Odisha,Cuttack,Plastic,354.6,304.13,200.0,131.48,6.72,159.7,85.77,65.74,Composting,Composting Plant,2023,12,Dec,Q4,0.39
